cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-05-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-05-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-05-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-05-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-05-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-05-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-04-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-04-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-04-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-04-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-04-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-04-21,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-04-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-04-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-04-14,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-03-24,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-03-24,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-03-24,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2021-03-19,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2021-03-19,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2021-03-19,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-08-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-08-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-07-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-07-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-07-15,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-07-08,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-07-01,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-06-24,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2020-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2020-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2020-06-17,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2019-08-21,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona media,2,2019-08-21,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2019-08-21,SIN ALERTA
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2019-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2019-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2019-08-13,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2019-08-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2019-08-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2019-08-07,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2019-07-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2019-07-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2019-07-31,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-08-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-08-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-08-29,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-08-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-08-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-08-22,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-08-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-08-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-08-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-05-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-05-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-05-16,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-05-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-05-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-05-09,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-05-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-05-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-05-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-25,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-18,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-11,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2018-04-04,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-08-02,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-26,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-19,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-12,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-07-05,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona media,2,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona alta,3,2017-06-28,BAJO
VIÑA,BOTRYTIS,ABONA,Zona baja,1,2017-06-21,BAJO
