cultivo,plaga_enfermedad,comarca_nombre,comarca_zona,comarca_zona_id,fecha_aviso,nivel_aviso
VIÑA,MILDIU,ABONA,Zona baja,1,2024-06-26,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-06-26,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-06-26,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-06-19,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-06-19,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-06-19,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-06-12,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-06-12,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-06-12,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-06-05,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-06-05,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-06-05,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-05-29,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-05-29,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-05-29,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-05-22,MEDIO
VIÑA,MILDIU,ABONA,Zona media,2,2024-05-22,MEDIO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-05-22,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-05-15,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-05-15,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-05-15,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-05-08,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-05-08,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-05-08,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-04-29,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-04-29,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-04-29,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-04-24,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-04-24,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-04-24,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-04-17,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-04-17,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-04-17,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-04-10,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2024-04-10,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-04-10,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2024-04-03,MEDIO
VIÑA,MILDIU,ABONA,Zona media,2,2024-04-03,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2024-04-03,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-08-16,SIN ALERTA
VIÑA,MILDIU,ABONA,Zona media,2,2023-08-16,SIN ALERTA
VIÑA,MILDIU,ABONA,Zona alta,3,2023-08-16,SIN ALERTA
VIÑA,MILDIU,ABONA,Zona baja,1,2023-08-09,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-08-09,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-08-09,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-08-02,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-08-02,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-08-02,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-07-26,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-07-26,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-07-26,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-07-19,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-07-19,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-07-19,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-07-12,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-07-12,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-07-12,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-07-05,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-07-05,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-07-05,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-06-28,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-06-28,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-06-28,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-06-21,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-06-21,BAJO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-06-21,BAJO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-06-14,BAJO
VIÑA,MILDIU,ABONA,Zona media,2,2023-06-14,MEDIO
VIÑA,MILDIU,ABONA,Zona alta,3,2023-06-14,MEDIO
VIÑA,MILDIU,ABONA,Zona baja,1,2023-06-07,MEDIO
